Target,Commit count
com.google.javascript.jscomp.SuspiciousPropertiesCheck,2
com.google.javascript.rhino.jstype.UnresolvedTypeExpression,2
com.google.javascript.jscomp.parsing.Annotation,2
com.google.javascript.jscomp.FunctionInfo,2
com.google.javascript.jscomp.InstrumentationTemplate,2
com.google.javascript.jscomp.SourceInformationAnnotator,2
com.google.javascript.jscomp.NameReferenceGraph,2
com.google.javascript.jscomp.InstrumentationOrBuilder,2
com.google.javascript.jscomp.SimpleFunctionAliasAnalysis,2
com.google.javascript.jscomp.WarningsGuard,2
com.google.javascript.jscomp.RenamePrototypes,2
com.google.javascript.jscomp.FunctionSideEffectData,2
com.google.javascript.jscomp.MoveFunctionDeclarations,2
com.google.javascript.jscomp.jsonml.Reader,2
com.google.javascript.jscomp.VariableVisibilityAnalysis,2
com.google.debugging.sourcemap.SourceMapGeneratorV2,2
com.google.javascript.jscomp.DiagnosticGroup,2
com.google.javascript.jscomp.DiagnosticGroupWarningsGuard,2
com.google.javascript.jscomp.regex.CharRanges,2
com.google.debugging.sourcemap.SourceMapSection,2
com.google.javascript.jscomp.FieldCleanupPass,2
com.google.javascript.jscomp.NameAnonymousFunctions,2
com.google.javascript.jscomp.CleanupPasses,2
org.mozilla.javascript.CompilerEnvirons,2
com.google.javascript.jscomp.DataFlowAnalysis,2
com.google.javascript.jscomp.JsMessageDefinition,2
com.google.javascript.jscomp.JsMessageExtractor,2
com.google.javascript.jscomp.ReorderConstantExpression,2
com.google.javascript.jscomp.WhitelistWarningsGuard,2
com.google.javascript.jscomp.graph.GraphColoring,2
com.google.javascript.jscomp.RemoveUnusedClassProperties,2
org.mozilla.javascript.IRFactory,2
org.mozilla.javascript.Interpreter,2
org.mozilla.javascript.NativeArray,2
org.mozilla.javascript.NativeDate,2
org.mozilla.javascript.NativeGlobal,2
org.mozilla.javascript.NativeJSON,2
org.mozilla.javascript.NativeMath,2
org.mozilla.javascript.NativeString,2
org.mozilla.javascript.ScriptRuntime,2
org.mozilla.javascript.optimizer.Codegen,2
org.mozilla.javascript.optimizer.OptRuntime,2
com.google.javascript.jscomp.graph.Graph,2
org.mozilla.javascript.TokenStream,2
com.google.javascript.jscomp.fuzzing.ScopeManager,2
com.google.javascript.jscomp.fuzzing.IdentifierFuzzer,2
com.google.javascript.jscomp.parsing.parser.codegeneration.ParseTreeWriter,2
com.google.javascript.jscomp.parsing.parser.trees.ClassDeclarationTree,2
com.google.javascript.jscomp.parsing.parser.ParseTreeValidator,2
com.google.javascript.jscomp.InferConsts,2
com.google.javascript.jscomp.newtypes.QualifiedName,2
com.google.javascript.jscomp.parsing.parser.Keywords,2
com.google.javascript.jscomp.newtypes.PersistentMap,2
com.google.javascript.jscomp.newtypes.PersistentSet,2
com.google.javascript.jscomp.SourceMapInput,2
com.google.javascript.jscomp.parsing.TypeDeclarationsIRFactory,2
com.google.javascript.jscomp.type.FlowScope,2
com.google.javascript.jscomp.ConstParamCheck,2
com.google.javascript.jscomp.DefaultNameGenerator,2
com.google.javascript.jscomp.newtypes.NamespaceLit,2
com.google.javascript.jscomp.CoverageInstrumentationCallback,2
com.google.javascript.jscomp.CompilerExecutor,2
com.google.javascript.rhino.jstype.PropertyMap,2
com.google.javascript.jscomp.RemoveSuperMethodsPass,2
com.google.javascript.jscomp.newtypes.ObjectsBuilder,2
com.google.javascript.jscomp.Es6RenameVariablesInParamLists,2
com.google.javascript.jscomp.DefinitionUseSiteFinder,2
com.google.javascript.jscomp.CollapseAnonymousFunctions,2
com.google.javascript.jscomp.J2clConstantHoisterPass,2
com.google.javascript.jscomp.deps.BrowserModuleResolver,2
com.google.javascript.jscomp.deps.ModuleLoader,2
com.google.javascript.jscomp.deps.ModuleResolver,2
com.google.javascript.jscomp.deps.NodeModuleResolver,2
com.google.javascript.jscomp.DisambiguatePrivateProperties,2
com.google.javascript.jscomp.JsdocToEs6TypedConverter,2
com.google.javascript.jscomp.AstChangeProxy,2
com.google.javascript.jscomp.LazyParsedDependencyInfo,2
com.google.javascript.jscomp.IncrementalScopeCreator,2
com.google.javascript.jscomp.Es6ToEs3Util,2
com.google.javascript.jscomp.TypeMismatch,2
com.google.javascript.jscomp.AccessControlUtils,2
com.google.javascript.jscomp.Es6RewriteModulesToCommonJsModules,2
com.google.javascript.jscomp.lint.CheckArrayWithGoogObject,2
com.google.javascript.jscomp.SortingErrorManager,2
com.google.javascript.jscomp.ModuleRenaming,2
com.google.javascript.jscomp.RewriteJsonToModule,2
com.google.javascript.jscomp.modules.Binding,2
com.google.javascript.jscomp.transpile.CachingTranspiler,2
com.google.javascript.rhino.jstype.StaticTypedScope,2
com.google.javascript.rhino.jstype.SubtypeChecker,2
com.google.javascript.jscomp.UniqueIdSupplier,2
com.google.javascript.jscomp.parsing.parser.trees.FormalParameterListTree,2
com.google.javascript.jscomp.RewriteObjectSpread,2
com.google.javascript.jscomp.lint.CheckDefaultExportOfGoogModule,2
com.google.javascript.jscomp.serialization.JSTypeSerializer,2
com.google.javascript.jscomp.serialization.JsdocSerializer,2
com.google.javascript.jscomp.CheckMissingOverrideTypes,2
com.google.javascript.jscomp.disambiguate.Invalidation,2
com.google.javascript.jscomp.LocaleDataPasses,2
com.google.javascript.jscomp.disambiguate.AmbiguateProperties,2
com.google.javascript.jscomp.serialization.ColorPool,2
com.google.javascript.jscomp.ConvertChunksToESModules,2
com.google.javascript.jscomp.JSChunk,2
com.google.javascript.jscomp.CodingConventionAnnotator,1
com.google.javascript.jscomp.NodeTypeNormalizer,1
com.google.javascript.jscomp.VerboseMessageFormatter,1
